English,Remedy_1,Remedy_2,Remedy_3,Remedy_dummy,Symptoms,Remedy_DUMMY,Remedy
EAR DISCHARGE FROM,CALCAREA PHOSPHORICA 3X OR 12X  CALCAREA  SULPHURICUM 3X FERRUM PHOSPHORICUM 12X KALI PHOSPHORICUM 3X KALI SULPHURICUM 3X NATRUM MURIATICUM 3X SILICEA MIX AND TAKE ,,,CALCAREA PHOSPHORICA 3X OR 12X  CALCAREA  SULPHURICUM 3X FERRUM PHOSPHORICUM 12X KALI PHOSPHORICUM 3X KALI SULPHURICUM 3X NATRUM MURIATICUM 3X SILICEA MIX AND TAKE ,Ear Discharge From,Calcarea Phosphorica 3X Or 12X  Calcarea  Sulphuricum 3X Ferrum Phosphoricum 12X Kali Phosphoricum 3X Kali Sulphuricum 3X Natrum Muriaticum 3X Silicea Mix And Take ,Calcarea Phosphorica 3X Or 12X Calcarea Sulphuricum 3X Ferrum Phosphoricum 12X Kali Phosphoricum 3X Kali Sulphuricum 3X Natrum Muriaticum 3X Silicea Mix And Take
EARACHE,CALCAREA PHOSPHORICA 3X OR 12X CALCARIA FLOURIDE 3X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X KALI SULPHURICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM SULPHURICUM 3X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2 ,CALCAREA SULPHURICUM 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X SILICEA 12X MIX AND TAKE ,,"CALCAREA PHOSPHORICA 3X OR 12X CALCARIA FLOURIDE 3X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X KALI SULPHURICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM SULPHURICUM 3X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2  , CALCAREA SULPHURICUM 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X SILICEA 12X MIX AND TAKE  , ",Earache,"Calcarea Phosphorica 3X Or 12X Calcaria Flouride 3X Ferrum Phosphoricum 12X Kali Muriaticum 3X Kali Phosphoricum 3X Kali Sulphuricum 3X Magnesia Phosphorica 3X Natrum Sulphuricum 3X Mix And Take If Remedy Fails Try Remedy 2  , Calcarea Sulphuricum 3X Natrum Muriaticum 3X Natrum Phosphoricum 3X Silicea 12X Mix And Take  , ","Calcarea Phosphorica 3X Or 12X Calcaria Flouride 3X Ferrum Phosphoricum 12X Kali Muriaticum 3X Kali Phosphoricum 3X Kali Sulphuricum 3X Magnesia Phosphorica 3X Natrum Sulphuricum 3X Mix And Take If Remedy Fails Try Remedy 2 , Calcarea Sulphuricum 3X Natrum Muriaticum 3X Natrum Phosphoricum 3X Silicea 12X Mix And Take ,"
EASY CHILDBIRTH,,,," In case you are pregnant ,  in your last months ,  it is recommended to take CAULOPHYLLUM 5CH as a preventive treatment ,  in an amount of 5 granules per day.  These granules will allow you to relax  your uterine cervix ,  in order to facilitate your delivery. ",Easy Childbirth," In Case You Are Pregnant ,  In Your Last Months ,  It Is Recommended To Take Caulophyllum 5Ch As A Preventive Treatment ,  In An Amount Of 5 Granules Per Day.  These Granules Will Allow You To Relax  Your Uterine Cervix ,  In Order To Facilitate Your Delivery. ","In Case You Are Pregnant , In Your Last Months , It Is Recommended To Take Caulophyllum 5Ch As A Preventive Treatment , In An Amount Of 5 Granules Per Day. These Granules Will Allow You To Relax Your Uterine Cervix , In Order To Facilitate Your Delivery."
ECZEMA,,,,Take 5 granules 2 times per day.  According to the cause - Big eaters - Antimonium Crudum 7CH After vaccination - Mezereum 5CH + basic treatment - Thuya 15CH 1 dose on Sunday evening.  According to symptoms - 1) Aggravation. aggravated by the sea  by the sun - Natrum Muriaticum 7CHaggravated in wintertime - Petroleum 7CH aggravated by water - Sulfur 7CH 2) Improvement.  Improved by heat - Arsenicum Album 7CH.  Improved by cold - Sulfur 7CH.  According to appearance.  Pink eczema - Apis 7CH Dry fine powder- Arsenicum Album 5CH Dry with large scales- Arsenicum Iodatum 7CH With red skin - Belladonna 5CH With large bubbles- Cantharis 7CH With sweating - Graphites 5CH et Pix liquida 5CH With crusts - Mezereum 5CH With bloody cracks- Nitricum Acidum 7CH With vesicles - Rhus Toxicodendron 9CH.  In case of dyshidrosis - Rhux Vernix 7CH.  According to placement -Anus - Berberis 5CH.  Genital parts - Crotum tiglium 7CH.  Mouth (the round of the Mouth) - Sepia 5CH.  Elbow (fold) - Berberis Vulgaris 5CH.  Forehead - Natrum Muriaticum 5CH Wrist and Chin - Primula obsconica 5CH.  Behind ears - Graphites 7CH In the ear canal - Psorinum 7CH Foot horn - Antimonium crudum 9CH.  Palms - Anagallis 7CH,Eczema,Take 5 Granules 2 Times Per Day.  According To The Cause - Big Eaters - Antimonium Crudum 7Ch After Vaccination - Mezereum 5Ch + Basic Treatment - Thuya 15Ch 1 Dose On Sunday Evening.  According To Symptoms - 1) Aggravation. Aggravated By The Sea  By The Sun - Natrum Muriaticum 7Chaggravated In Wintertime - Petroleum 7Ch Aggravated By Water - Sulfur 7Ch 2) Improvement.  Improved By Heat - Arsenicum Album 7Ch.  Improved By Cold - Sulfur 7Ch.  According To Appearance.  Pink Eczema - Apis 7Ch Dry Fine Powder- Arsenicum Album 5Ch Dry With Large Scales- Arsenicum Iodatum 7Ch With Red Skin - Belladonna 5Ch With Large Bubbles- Cantharis 7Ch With Sweating - Graphites 5Ch Et Pix Liquida 5Ch With Crusts - Mezereum 5Ch With Bloody Cracks- Nitricum Acidum 7Ch With Vesicles - Rhus Toxicodendron 9Ch.  In Case Of Dyshidrosis - Rhux Vernix 7Ch.  According To Placement -Anus - Berberis 5Ch.  Genital Parts - Crotum Tiglium 7Ch.  Mouth (The Round Of The Mouth) - Sepia 5Ch.  Elbow (Fold) - Berberis Vulgaris 5Ch.  Forehead - Natrum Muriaticum 5Ch Wrist And Chin - Primula Obsconica 5Ch.  Behind Ears - Graphites 7Ch In The Ear Canal - Psorinum 7Ch Foot Horn - Antimonium Crudum 9Ch.  Palms - Anagallis 7Ch,Take 5 Granules 2 Times Per Day. According To The Cause - Big Eaters - Antimonium Crudum 7Ch After Vaccination - Mezereum 5Ch + Basic Treatment - Thuya 15Ch 1 Dose On Sunday Evening. According To Symptoms - 1) Aggravation. Aggravated By The Sea By The Sun - Natrum Muriaticum 7Chaggravated In Wintertime - Petroleum 7Ch Aggravated By Water - Sulfur 7Ch 2) Improvement. Improved By Heat - Arsenicum Album 7Ch. Improved By Cold - Sulfur 7Ch. According To Appearance. Pink Eczema - Apis 7Ch Dry Fine Powder- Arsenicum Album 5Ch Dry With Large Scales- Arsenicum Iodatum 7Ch With Red Skin - Belladonna 5Ch With Large Bubbles- Cantharis 7Ch With Sweating - Graphites 5Ch Et Pix Liquida 5Ch With Crusts - Mezereum 5Ch With Bloody Cracks- Nitricum Acidum 7Ch With Vesicles - Rhus Toxicodendron 9Ch. In Case Of Dyshidrosis - Rhux Vernix 7Ch. According To Placement -Anus - Berberis 5Ch. Genital Parts - Crotum Tiglium 7Ch. Mouth (The Round Of The Mouth) - Sepia 5Ch. Elbow (Fold) - Berberis Vulgaris 5Ch. Forehead - Natrum Muriaticum 5Ch Wrist And Chin - Primula Obsconica 5Ch. Behind Ears - Graphites 7Ch In The Ear Canal - Psorinum 7Ch Foot Horn - Antimonium Crudum 9Ch. Palms - Anagallis 7Ch
EISONOPHILIA,CALCARIA FLOURIDE 3X FERRUM PHOSPHORICUM 12X NATRUM PHOSPHORICUM 3X MIX AND TAKE ,,,CALCARIA FLOURIDE 3X FERRUM PHOSPHORICUM 12X NATRUM PHOSPHORICUM 3X MIX AND TAKE ,Eosinophilia,Calcaria Flouride 3X Ferrum Phosphoricum 12X Natrum Phosphoricum 3X Mix And Take ,Calcaria Flouride 3X Ferrum Phosphoricum 12X Natrum Phosphoricum 3X Mix And Take
EMPHYSEMA,CALCARIA FLOURIDE 3X SILICEA 12X KALI MURIATICUM 3X NATRUM MURIATICUM 3X FERRUM PHOSPHORICUM 12X CALCAREA SULPHURICUM 3X CALCAREA PHOSPHORICA 3X OR 12X MIX AND TAKE ,,,CALCARIA FLOURIDE 3X SILICEA 12X KALI MURIATICUM 3X NATRUM MURIATICUM 3X FERRUM PHOSPHORICUM 12X CALCAREA SULPHURICUM 3X CALCAREA PHOSPHORICA 3X OR 12X MIX AND TAKE ,Emphysema,Calcaria Flouride 3X Silicea 12X Kali Muriaticum 3X Natrum Muriaticum 3X Ferrum Phosphoricum 12X Calcarea Sulphuricum 3X Calcarea Phosphorica 3X Or 12X Mix And Take ,Calcaria Flouride 3X Silicea 12X Kali Muriaticum 3X Natrum Muriaticum 3X Ferrum Phosphoricum 12X Calcarea Sulphuricum 3X Calcarea Phosphorica 3X Or 12X Mix And Take
ENDOCARDITIS,FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X NATRUM MURIATICUM 3X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2 ,CALCAREA PHOSPHORICA 3X OR 12X CALCARIA SULPHURICUM 3X MIX AND TAKE ,,"FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X NATRUM MURIATICUM 3X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2  , CALCAREA PHOSPHORICA 3X OR 12X CALCARIA SULPHURICUM 3X MIX AND TAKE  , ",Endocarditis,"Ferrum Phosphoricum 12X Kali Muriaticum 3X Natrum Muriaticum 3X Mix And Take If Remedy Fails Try Remedy 2  , Calcarea Phosphorica 3X Or 12X Calcaria Sulphuricum 3X Mix And Take  , ","Ferrum Phosphoricum 12X Kali Muriaticum 3X Natrum Muriaticum 3X Mix And Take If Remedy Fails Try Remedy 2 , Calcarea Phosphorica 3X Or 12X Calcaria Sulphuricum 3X Mix And Take ,"
ENT DISORDERS,,,,In case of a cold with sneezing  the prescribed dose of Nux vomica is 5 granules per hour for a dilution of 5 CH.  The dose is to be reduced according to the improvement of the patient\u2019s state.  An allergic cold is treated with Nux vomica 15 CH in an amount of 5 granules at bedtime.  This dose will have to be repeated at each crisis. ,Ent Disorders,In Case Of A Cold With Sneezing  The Prescribed Dose Of Nux Vomica Is 5 Granules Per Hour For A Dilution Of 5 Ch.  The Dose Is To Be Reduced According To The Improvement Of The Patient\U2019S State.  An Allergic Cold Is Treated With Nux Vomica 15 Ch In An Amount Of 5 Granules At Bedtime.  This Dose Will Have To Be Repeated At Each Crisis. ,In Case Of A Cold With Sneezing The Prescribed Dose Of Nux Vomica Is 5 Granules Per Hour For A Dilution Of 5 Ch. The Dose Is To Be Reduced According To The Improvement Of The Patient\U2019S State. An Allergic Cold Is Treated With Nux Vomica 15 Ch In An Amount Of 5 Granules At Bedtime. This Dose Will Have To Be Repeated At Each Crisis.
ENURESIS (BEDWETTING),,,,"In case the pee occurs early in the night-AUSTICUM 15CH - One time at bedtime. CHLORALUM 15CH - the sleep is very profound ,  and the wet bed does not wake up the baby. KREOSOTUM 9CH - the child dreams he is urinating ,  the first sleep is very profound.  One time at bedtime. SEPIA 9CH - the urine has a strong odor.  One time at bedtime. In case the pee occurs in late night -BELLADONNA 9CH et CHRORALLUM 15CH - the child speaks and uncovers himself while sleeping.  One time at bedtime. ",Enuresis (Bedwetting),"In Case The Pee Occurs Early In The Night-Austicum 15Ch - One Time At Bedtime. Chloralum 15Ch - The Sleep Is Very Profound ,  And The Wet Bed Does Not Wake Up The Baby. Kreosotum 9Ch - The Child Dreams He Is Urinating ,  The First Sleep Is Very Profound.  One Time At Bedtime. Sepia 9Ch - The Urine Has A Strong Odor.  One Time At Bedtime. In Case The Pee Occurs In Late Night -Belladonna 9Ch Et Chrorallum 15Ch - The Child Speaks And Uncovers Himself While Sleeping.  One Time At Bedtime. ","In Case The Pee Occurs Early In The Night-Austicum 15Ch - One Time At Bedtime. Chloralum 15Ch - The Sleep Is Very Profound , And The Wet Bed Does Not Wake Up The Baby. Kreosotum 9Ch - The Child Dreams He Is Urinating , The First Sleep Is Very Profound. One Time At Bedtime. Sepia 9Ch - The Urine Has A Strong Odor. One Time At Bedtime. In Case The Pee Occurs In Late Night -Belladonna 9Ch Et Chrorallum 15Ch - The Child Speaks And Uncovers Himself While Sleeping. One Time At Bedtime."
EPILEPSY,KALI MURIATICUM 3X 4TIMES A DAY IF REMEDY FAILS TRY REMEDY 2 ,CALCAREA PHOSPHORICA 3X OR 12X CALCAREA SULPHURICUM 3X KALI PHOSPHORICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X KALI SULPHURICUM 3X NATRUM PHOSPHORICUM 3X SILICEA 12X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 3 ,,"KALI MURIATICUM 3X 4TIMES A DAY IF REMEDY FAILS TRY REMEDY 2  , CALCAREA PHOSPHORICA 3X OR 12X CALCAREA SULPHURICUM 3X KALI PHOSPHORICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X KALI SULPHURICUM 3X NATRUM PHOSPHORICUM 3X SILICEA 12X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 3  , ",Epilepsy,"Kali Muriaticum 3X 4Times A Day If Remedy Fails Try Remedy 2  , Calcarea Phosphorica 3X Or 12X Calcarea Sulphuricum 3X Kali Phosphoricum 3X Magnesia Phosphorica 3X Natrum Muriaticum 3X Kali Sulphuricum 3X Natrum Phosphoricum 3X Silicea 12X Mix And Take If Remedy Fails Try Remedy 3  , ","Kali Muriaticum 3X 4Times A Day If Remedy Fails Try Remedy 2 , Calcarea Phosphorica 3X Or 12X Calcarea Sulphuricum 3X Kali Phosphoricum 3X Magnesia Phosphorica 3X Natrum Muriaticum 3X Kali Sulphuricum 3X Natrum Phosphoricum 3X Silicea 12X Mix And Take If Remedy Fails Try Remedy 3 ,"
EPILEPSY,,,,"At wake-up - 3 granules of Cicuta Virosa 7CH ,  and of Oenanthe Crotata 7CH.   At lunchtime - Agaricus 7CH ,  Hyoscyamus 9CH.   At bedtime - Zincum Valerianicum 7CH ,  Metaldehyde 7CH.   On Sunday evening - Coriaria myrtifolia 9CH - 1 dose per week.   In case it occurs during night - Bufo 7CH / 3 granules in the morning and in the evening. ",Epilepsy1,"At Wake-Up - 3 Granules Of Cicuta Virosa 7Ch ,  And Of Oenanthe Crotata 7Ch.   At Lunchtime - Agaricus 7Ch ,  Hyoscyamus 9Ch.   At Bedtime - Zincum Valerianicum 7Ch ,  Metaldehyde 7Ch.   On Sunday Evening - Coriaria Myrtifolia 9Ch - 1 Dose Per Week.   In Case It Occurs During Night - Bufo 7Ch / 3 Granules In The Morning And In The Evening. ","At Wake-Up - 3 Granules Of Cicuta Virosa 7Ch , And Of Oenanthe Crotata 7Ch. At Lunchtime - Agaricus 7Ch , Hyoscyamus 9Ch. At Bedtime - Zincum Valerianicum 7Ch , Metaldehyde 7Ch. On Sunday Evening - Coriaria Myrtifolia 9Ch - 1 Dose Per Week. In Case It Occurs During Night - Bufo 7Ch / 3 Granules In The Morning And In The Evening."
ERYSIPELAS,FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X NATRUM SULPHURICUM 3X CALCARIA FLOURIDE 3X KALI SULPHURICUM 3X NATRUM PHOSPHORICUM 3X SILICEA 12X MIX AND TAKE ,,,FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X NATRUM SULPHURICUM 3X CALCARIA FLOURIDE 3X KALI SULPHURICUM 3X NATRUM PHOSPHORICUM 3X SILICEA 12X MIX AND TAKE ,Erysipelas,Ferrum Phosphoricum 12X Kali Muriaticum 3X Natrum Sulphuricum 3X Calcaria Flouride 3X Kali Sulphuricum 3X Natrum Phosphoricum 3X Silicea 12X Mix And Take ,Ferrum Phosphoricum 12X Kali Muriaticum 3X Natrum Sulphuricum 3X Calcaria Flouride 3X Kali Sulphuricum 3X Natrum Phosphoricum 3X Silicea 12X Mix And Take
EXCESSIVE SWEATING,,,,Take 3 granules 3 times per day.  According to symptoms.  While falling asleep  Calcarea Carbonica 7CH.  Obesity  Calcarea Carbonica 9CH.  At the slightest exercise  China 5CH.  After a severe illness (infectious)  China 5CH.  After meals - Natrum Muriaticum 5CH.  After fear - Opium 9CH.  Aggravation at night  Mercurius solubilis 5CH.  Aggravation within an overheated room  Pulsatilla 7CH.  Hot sweats - Chamomilla 5CH.  Sweats that exhaust- China 7CH.  With salt elimination  - Natrum Muriaticum 9CH Bad odor.  During fever - Mercurius solubilis 7CH.  under the arms - Sepia 5CH. legs - Silicea 7CH en dose.  Of the body - Thuya 9CH en dose Depending on the cause.  At menopause - Pilocarpus 9CH.  while waking up - Sambucus Nigra 5CH.  emotional sweating - Cyclamen 7CH.  during menstruation - Veratrum Album 7CH,Excessive Sweating,Take 3 Granules 3 Times Per Day.  According To Symptoms.  While Falling Asleep  Calcarea Carbonica 7Ch.  Obesity  Calcarea Carbonica 9Ch.  At The Slightest Exercise  China 5Ch.  After A Severe Illness (Infectious)  China 5Ch.  After Meals - Natrum Muriaticum 5Ch.  After Fear - Opium 9Ch.  Aggravation At Night  Mercurius Solubilis 5Ch.  Aggravation Within An Overheated Room  Pulsatilla 7Ch.  Hot Sweats - Chamomilla 5Ch.  Sweats That Exhaust- China 7Ch.  With Salt Elimination  - Natrum Muriaticum 9Ch Bad Odor.  During Fever - Mercurius Solubilis 7Ch.  Under The Arms - Sepia 5Ch. Legs - Silicea 7Ch En Dose.  Of The Body - Thuya 9Ch En Dose Depending On The Cause.  At Menopause - Pilocarpus 9Ch.  While Waking Up - Sambucus Nigra 5Ch.  Emotional Sweating - Cyclamen 7Ch.  During Menstruation - Veratrum Album 7Ch,Take 3 Granules 3 Times Per Day. According To Symptoms. While Falling Asleep Calcarea Carbonica 7Ch. Obesity Calcarea Carbonica 9Ch. At The Slightest Exercise China 5Ch. After A Severe Illness (Infectious) China 5Ch. After Meals - Natrum Muriaticum 5Ch. After Fear - Opium 9Ch. Aggravation At Night Mercurius Solubilis 5Ch. Aggravation Within An Overheated Room Pulsatilla 7Ch. Hot Sweats - Chamomilla 5Ch. Sweats That Exhaust- China 7Ch. With Salt Elimination - Natrum Muriaticum 9Ch Bad Odor. During Fever - Mercurius Solubilis 7Ch. Under The Arms - Sepia 5Ch. Legs - Silicea 7Ch En Dose. Of The Body - Thuya 9Ch En Dose Depending On The Cause. At Menopause - Pilocarpus 9Ch. While Waking Up - Sambucus Nigra 5Ch. Emotional Sweating - Cyclamen 7Ch. During Menstruation - Veratrum Album 7Ch
"EXHAUSTION\/WEAKNESS , COLLAPSE",CALCAREA PHOSPHORICA 3X OR 12X KALI PHOSPHORICUM 3X NATRUM MURIATICUM 3X MIX IN WATER AND TAKE,,,CALCAREA PHOSPHORICA 3X OR 12X KALI PHOSPHORICUM 3X NATRUM MURIATICUM 3X MIX IN WATER AND TAKE,"Exhaustion\/Weakness , Collapse",Calcarea Phosphorica 3X Or 12X Kali Phosphoricum 3X Natrum Muriaticum 3X Mix In Water And Take,Calcarea Phosphorica 3X Or 12X Kali Phosphoricum 3X Natrum Muriaticum 3X Mix In Water And Take
"FAINTNESS ,  DISCOMFORT ,  DIZZINESS",,,,Lipothymie vagale - The fact of being in a confined space can cause faintness.  This sometimes happens when body lacks oxygen or when metabolism is not functioning properly.  For treating discomfort  a medication of five granules of Pulsatilla 9 CH is recommended  to be repeated until improvement.  But in case faintness occurs after a suffocating heat  Antimonium 9 CH is the most appropriate remedy.  Five granules must be taken and must be repeated until improvement.  Finally  when faintness is caused by sunstroke  a medication of five granules of Glonoinum 9 CH is indicated. Faintness caused by a decrease in blood pressure - In case the discomfort is accompanied by pallor  sweat and an exhaustion feeling  five granules of China 5 CH taken two times a day  is the most appropriate remedy Faintness caused by an emotional shock - In case the discomfort is characterized by a sensation of tingling prior to a crisis of hysteria or hyperventilation  Moschus 7 CH is indicated.  But in case faintness is followed by a fainting  Ignatia 9 CH is often prescribed. Sometimes  emotion causes to the patient a significant weakening accompanied by a feeling of emptiness.  In this case  a medication of Gelsemium 7 CH is prescribed  especially if the discomfort  causes muscle weakness in the legs.  For all these remedies  5 granules of each have to be taken at regular time periods until improvement. ,"Faintness ,  Discomfort ,  Dizziness",Lipothymie Vagale - The Fact Of Being In A Confined Space Can Cause Faintness.  This Sometimes Happens When Body Lacks Oxygen Or When Metabolism Is Not Functioning Properly.  For Treating Discomfort  A Medication Of Five Granules Of Pulsatilla 9 Ch Is Recommended  To Be Repeated Until Improvement.  But In Case Faintness Occurs After A Suffocating Heat  Antimonium 9 Ch Is The Most Appropriate Remedy.  Five Granules Must Be Taken And Must Be Repeated Until Improvement.  Finally  When Faintness Is Caused By Sunstroke  A Medication Of Five Granules Of Glonoinum 9 Ch Is Indicated. Faintness Caused By A Decrease In Blood Pressure - In Case The Discomfort Is Accompanied By Pallor  Sweat And An Exhaustion Feeling  Five Granules Of China 5 Ch Taken Two Times A Day  Is The Most Appropriate Remedy Faintness Caused By An Emotional Shock - In Case The Discomfort Is Characterized By A Sensation Of Tingling Prior To A Crisis Of Hysteria Or Hyperventilation  Moschus 7 Ch Is Indicated.  But In Case Faintness Is Followed By A Fainting  Ignatia 9 Ch Is Often Prescribed. Sometimes  Emotion Causes To The Patient A Significant Weakening Accompanied By A Feeling Of Emptiness.  In This Case  A Medication Of Gelsemium 7 Ch Is Prescribed  Especially If The Discomfort  Causes Muscle Weakness In The Legs.  For All These Remedies  5 Granules Of Each Have To Be Taken At Regular Time Periods Until Improvement. ,Lipothymie Vagale - The Fact Of Being In A Confined Space Can Cause Faintness. This Sometimes Happens When Body Lacks Oxygen Or When Metabolism Is Not Functioning Properly. For Treating Discomfort A Medication Of Five Granules Of Pulsatilla 9 Ch Is Recommended To Be Repeated Until Improvement. But In Case Faintness Occurs After A Suffocating Heat Antimonium 9 Ch Is The Most Appropriate Remedy. Five Granules Must Be Taken And Must Be Repeated Until Improvement. Finally When Faintness Is Caused By Sunstroke A Medication Of Five Granules Of Glonoinum 9 Ch Is Indicated. Faintness Caused By A Decrease In Blood Pressure - In Case The Discomfort Is Accompanied By Pallor Sweat And An Exhaustion Feeling Five Granules Of China 5 Ch Taken Two Times A Day Is The Most Appropriate Remedy Faintness Caused By An Emotional Shock - In Case The Discomfort Is Characterized By A Sensation Of Tingling Prior To A Crisis Of Hysteria Or Hyperventilation Moschus 7 Ch Is Indicated. But In Case Faintness Is Followed By A Fainting Ignatia 9 Ch Is Often Prescribed. Sometimes Emotion Causes To The Patient A Significant Weakening Accompanied By A Feeling Of Emptiness. In This Case A Medication Of Gelsemium 7 Ch Is Prescribed Especially If The Discomfort Causes Muscle Weakness In The Legs. For All These Remedies 5 Granules Of Each Have To Be Taken At Regular Time Periods Until Improvement.
