English,Remedy_1,Remedy_2,Remedy_3,Remedy
FEVER,,,,Give 3 granules every half an hour. Fever rising sharply  following to an exposure to bitter cold  dry skin  anxiety  severe thirst for cold water : Aconit 15 CH.High fever with red  warm and moist skin  succeeding exposure to cold  sunstroke  or after having wet feet or wet hair : Belladona 9 CH.Moderately high fever  38 5\u00b0C  shiny eyes  alternating pallor and redness : Ferrum phosphoricum 5 CH. This is often preceded by a nasopharyngitis  a bronchitis or a otitis.Fever with chills  severe thirst  very dry mouth  with absolute desire for rest and stillness : Bryoniqa 5 CHHigh fever with pallor and absence of thirst  prostration  depression  tremblings  sweating  painful tiredness : Gelsemium 9 CH. Fever with slimy and smelly sweating : Mercurius solubilis 5 CH.
FEVERS,,,,"ACONIT 5CH : high fever suddenly occuring after a dry cold with red and dry face, no sweating, intense thirst, agitation, death fear. APIS 5 CH : high fever with lack of thirst, skin alternatively dry and sweat, seldom urinating, aggravated by movement and heat. ARSENICUM ALBUM 5CH : critical temperature, intermittent fever with great thirst for hot drinks, anxiety with fear of the night, aggravated between 1 and 3 o\u2019clock in the morning. ARNICA 5CH : heat and redness of the head while the rest of the body is cool, impression that the mattress is hard, aches. BELLADONNA 5CH : high fever to 40 degrees with breakdown, hyperesthesia of all senses, photophobia, significant palpitations, significant sweating, possibly active and hallucinatory delirium. BRYONIA 5CH : fever with thirst, dry and cracked lips, improved by complete rest in a warm room, headaches aggravated at the slightest touch. CHAMOMILLA 5CH : heat with red cheeks, one cheek red and the other one pale, very angry, agitated child, improved by rocking or walking him, sweats and thirst. FERRUM PHOSPHORICUM 5CH : low-grade fever (38- to 38,5), face alternatively red and pale, congestive headaches, epistaxis during fever. GELSEMIUM 5CH : fever goes up gradually, deep breakdown, prostration, tremblings, dry skin but sweat, muscle pains, but especially lack of thirst. NUX VOMICA 5CH : whole body is burning, red and congested face, shivers. PHOSPHORUS 5CH : severe fever, thirst for large quantities of ice water, the patient is hungry during fever, sometimes a purpura appears. PULSATILLA 5CH : fever without thirst, with shivers, need for affection, fever aggravated in warm and confined atmosphere. PYROGENIUM 5CH : severe fever to 40 degrees, with cold sweats of fetid odor, discordance of puls and fever. RHUS TOX 5CH : great agitation during fever, the child can not find himself a good position and complains of significant muscle pains, the tongue is often dark with a red triangle at the tip, shivers at the slightest movement."
FIBROMYALGIA,,,,Fibromyalgia  or polyalgic diffuse idiopathic syndrome (SPID)  is a  disease characterized by a cronic painful muscle condition (diffuse myalgia) extended or localized to different body regions  which particularly manifests by a  tactile allodynia and a persistent asthenia (tiredness).For treating pains that can be relieved through massage  mouvement or heat  you have to take Colocynthis in 200 k one time per week. The patient can treat psychological symptoms such as irritability  by accompanying the treatment with 3 granules of Rhus toxicodendron en 5 CH  in an amount of 2 medications per day. Taking Arsenicum Album in 4 CH  in an amount of 3 granules 2 times per day  during 6 weeks  allows to calm agitation  anxiety and sensation of internal burns. Inflammation of the mucous membranes accompanied by chronic tiredness  can be relieved with Alumina in 12 CH  with a dosage of 5 granules to be taken once a week. It is also possible to use Bryonia in 4 CH without associating it with Rhus toxicodendron. For relieving pain in the fingers  take Benzo\u00efcum Acidum in 4 CH during 2 months. Relieve pain in the shoulders with Ferrum Metallicum for a two months treatment.
FILARIA,KALI SULPHURICUM 3X KALI MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MIX AND TAKE ,,,KALI SULPHURICUM 3X KALI MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MIX AND TAKE 
FISTULA,CALCARIA FLOURIDE 3X CALCAREA PHOSPHORICA 3X OR 12X CALCARIA SULPHURICUM 3X KALI PHOSPHORICUM 3X NATRUM MURIATICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MIX AND TAKE ,,,CALCARIA FLOURIDE 3X CALCAREA PHOSPHORICA 3X OR 12X CALCARIA SULPHURICUM 3X KALI PHOSPHORICUM 3X NATRUM MURIATICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MIX AND TAKE 
FLATULENCE,CALCAREA PHOSPHORICA 3X OR 12X KALI PHOSPHORICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X KALI SULPHURICUM 3X MIX AND TAKE ,,,CALCAREA PHOSPHORICA 3X OR 12X KALI PHOSPHORICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X KALI SULPHURICUM 3X MIX AND TAKE 
FLU,,,,In prevention :Take on every Sunday starting with October :Influenzinum in scale : 7CH  then  9CH  12CH  15CH  30CH Mangan\u00e8se-Cuivre  2 times per week.Cuivre-or-Argent  3 times per week  une dose.In case of a flu : From the first chills  take 3 ampoules of Cuivre par jour + 1 dose dOscillococcinum 200  to be repeated two times daily. Painful flu : 3 granules alternated every 10 minutes :Gelsemium 9CH  Eupatorium 4CH  Rhus Tox 7CH (in case of painful tiredness). After flu  for removing toxins : Within 5 days of healing : 1 dose of Sulfur 7CH
FOOD INDIGESTION,,,,Take Arsenicum album 9 CH : 5 granules every 30 minutes to 1 hour during the first hours  then space the medications according to noticed improvements.
FRACTURE,,,,Alternate the following granules  3 times per day  during the next 4 weeks after fracture3 granules of ARNICA MONTANA 5 CH3 granules of CALCEREA PHOSPHORICA 5 CH3 granules of SYMPHYTUM OFFICINALE 5 CH
FREQUENT IN URINATION,"CALCAREA PHOSPHORICA 3X OR 12X ,FERRUM PHOSPHORICUM 12X NATRUM MURIATICUM 3X AND NATRUM SULPHURICUM 3X MIX AND TAKE \r\nTHIS WILL SOLVE THE PROBLEM",,,"CALCAREA PHOSPHORICA 3X OR 12X ,FERRUM PHOSPHORICUM 12X NATRUM MURIATICUM 3X AND NATRUM SULPHURICUM 3X MIX AND TAKE \r\nTHIS WILL SOLVE THE PROBLEM"
FRIGHT,,,,Fright can be treated in different ways and it is according to noticed symptoms that we chose the most adapted treatment.Generally  the same homeopathic remedies will be used no matter if it is the case of a background or an attack treatment.However  for a background treatment  the chosen dilution will be between 9 and 30 CH and  medications will be taken weekly.In case of a crisis  the treatment consists of taking granules whose dilution is between 4 and 9 CH.Depending on the fright level  the treatment will start if necessary 6 to 24 hours before the exam.In cases of fever  of great agitation or excessive thirst accompanied by palpitations  it is recommended to use Aconitum napellus.If you feel a persistent hunger  if you have memory lapses and if you doubt of yourself or of your capacities  it is preferable to resort to Anacardium orientale.People demonstrating continuous great concern and that are very meticulous  sometimes even adopting a maniac attitude  or those of a pessimistic nature  should resort to Arsenicum album.In case of anxious agitation accompanied by trembling  emotional diarrheas  belching and dizziness  it is recommended to take 5 granules of Argentum nitrocum 9 CH three times per day. If the anxious subject loses its means due to an intense inhibition  if he suffers from frequent diarrheas and he often urinates  he should then take 5 granules of Gelsemium sempervirens 15 CH three times per day. Finally  in case of spasms  tight throat  knotted stomach and abdominal pains  it is appropriate to take 5 granules of Ignatia amara 9 CH.
FROSTBITE,,,,Frostbites are skin lesions  benign but often painful. They occur in cold and wet periods.3 granules 3 times per day of one of the following medicines : According to symptoms : Aggravation by heat : Agaricus Muscarius 5CH. Aggravation by touching : Nitricum Acidum 5CH. by heat : Pulsatilla 5CH.  Improvement by cold : Apis 7CH. Improvement by heat : Arsenicum Album 5CH. According to frostbites color : in case the skin is red : Agaricus Muscarius 5CH  in case it is rosy : Apis 7CH  in case it is blackish: Arsenicum Album 7CH  in case it is purple : Pulsatilla 5CH. According to sensations : sensation of ice needles : Agaricus Muscarius 5CH. frostbite with itching : Rhus Toxicodendron 5CH. According to the simultaneous symptoms : In case of frostbite with ulceration : Nitricum Acidum 5CH. in case of cracks : Petroleum 7CH. 
GALLSTONE,CALCARIA FLOURIDE 3X CALCAREA PHOSPHORICA 3X OR 12X MAGNESIA PHOSPHORICA 3X NATRUM SULPHURICUM 3X NATRUM PHOSPHORICUM 3X SILICEA 12X MIX AND TAKE ,GFJHJH,,"CALCARIA FLOURIDE 3X CALCAREA PHOSPHORICA 3X OR 12X MAGNESIA PHOSPHORICA 3X NATRUM SULPHURICUM 3X NATRUM PHOSPHORICUM 3X SILICEA 12X MIX AND TAKE ,GFJHJH,"
GANGRENE,KALI PHOSPHORICUM 3X  TAKE AT A GAP OF 1-1 HOUR A DAY AND AFTER THAT ,,,KALI PHOSPHORICUM 3X  TAKE AT A GAP OF 1-1 HOUR A DAY AND AFTER THAT 
GASTRIC ULCER,CALCAREA PHOSPHORICA 3X OR 12X CALCARIA FLOURIDE 3X KALI PHOSPHORICUM 3X NATRUM MURIATICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MIX AND TAKE ,,,CALCAREA PHOSPHORICA 3X OR 12X CALCARIA FLOURIDE 3X KALI PHOSPHORICUM 3X NATRUM MURIATICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MIX AND TAKE 
GASTRITIS,,,,Take 3 granules 3 times per day. a) Dyspepsia with hyperacidity(excess of acid secretions) Capsicum 4CH  Robinia 4CH On Sunday Iris Versicolor 5CH  10 granules. b) Dyspepsia with hypochlorhydria Gentiana 4CH  Nux Vomica 5CH On Sunday : Lycopodium 7CH 10 granules Stomach burns with thirst for small quantities of cold water : Arsenicum Album 7CH with thirst for large quantities of cold water : Phosphorus 7CH  of the entire digestive tract (with ophthalmic headache) : Iris Versicolor 5CHstomach cramps  improved by eructations : Carbo Vegetalis 5CH improved by hot water bottle : Magnesia Phos 7CH improved by a short rest : Nux Vomica 5CH 
GASTRO-ENTERITIS,,,,In case of gastro-enteritis   with dysenteric  viscous  painful stools  intestinal spasms  vomiting and lack of thirst  take Ipeca 9 or 15 CH : 5 granules at each episode of nausea  vomiting or diarrhea.In case of a gastro-enteritis characterized by non-painful diarrheas and an intense nauseous state : take Ricinus communis 5 CH : 5 granules after each liquid stool until the return of a normal transit.
GASTRO-ENTEROLOGIC DISORDERS,,,,In case of hemorrhoids or digestive disorders  it is recommended to take Nux vomica 9 CH in an amount of 5 granules every 2 hours if the crisis occurs after an excessive consumption of alcoholic beverages and spices. For treating constipation  it is recommended to take 5 granules of Nux vomica 9 CH  2 times per day.
GIDDINESS VERTIGO,FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM SULPHURICUM 3X NATRUM PHOSPHORICUM 3X KALI SULPHURICUM 3X MIX AND TAKE ,,,FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM SULPHURICUM 3X NATRUM PHOSPHORICUM 3X KALI SULPHURICUM 3X MIX AND TAKE 
GINGIVITIS,,,,Alternate the following granules 3 times per day  until disappearance of symptoms3 granules of SILICEA 5 CH3 granules of KREOSOTUM 5 CH3 granules of MERCURIUS SOLUBILIS 5 CH
GLANDS,NATRUM PHOSPHORICUM 3X KALI MURIATICUM 3X CALCARIA FLOURIDE 3X MIX AND TAKE ,,,NATRUM PHOSPHORICUM 3X KALI MURIATICUM 3X CALCARIA FLOURIDE 3X MIX AND TAKE 
GONORRHOEA,FIRST SILICEA 200X ONE TABLET AT THE GAP OF 3-3 DAYS FOR 3-4 TIMES. IF REMEDY FAILS TRY REMEDY 2,CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X KALI SULPHURICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MIX AND TAKE AT THE GAP OF 3-3 HOURS.IF REMEDY FAILS TRY REMEDY 2 ,CALCARIA FLOURIDE 3X CALCARIA SULPHURICUM 3X MIX AND TAKE AT THE GAP OF 3-3 HOURS,"FIRST SILICEA 200X ONE TABLET AT THE GAP OF 3-3 DAYS FOR 3-4 TIMES. IF REMEDY FAILS TRY REMEDY 2,CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X KALI SULPHURICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MIX AND TAKE AT THE GAP OF 3-3 HOURS.IF REMEDY FAILS TRY REMEDY 2 ,CALCARIA FLOURIDE 3X CALCARIA SULPHURICUM 3X MIX AND TAKE AT THE GAP OF 3-3 HOURS"
GOUT,CALCARIA FLOURIDE 3X OR 12X CALCAREA PHOSPHORICA 3X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MIX AND TAKE AT A GAP OF 4-4 HOURS A DAYIF REMEDY FAILS TRY REMEDY 2 ,CALCARIA SULPHURICUM 3X KALI SULPHURICUM 3X KALI PHOSPHORICUM 3X MIX AND TAKE ,,"CALCARIA FLOURIDE 3X OR 12X CALCAREA PHOSPHORICA 3X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MIX AND TAKE AT A GAP OF 4-4 HOURS A DAYIF REMEDY FAILS TRY REMEDY 2 ,CALCARIA SULPHURICUM 3X KALI SULPHURICUM 3X KALI PHOSPHORICUM 3X MIX AND TAKE ,"
GOUT,,,,In case of severe crisis : 3 granules alternated hourly. Belladonna 7CH  Colchicum 5CH  Ledum Palustre 4CH  Urtica 5CHIn case of a chronic gout : At wake-up : 3 granules of Arnica 5CHAt lunchtime : 3 granules of Ranunculus 5CHAt bedtime : Colchicum 5CHon Sunday evening : Nux Vomica 9CH: 1 dose. 
GRANULES\/TRACHOMA,KALI MURIATICUM 3X MIX IN WATER AND TAKE IF REMEDY FAILS TRY REMEDY 2 ,KALI MURIATICUM 3X NATRUM MURIATICUM 3X NATRUM SULPHURICUM 3X MIX AND TAKE ,,"KALI MURIATICUM 3X MIX IN WATER AND TAKE IF REMEDY FAILS TRY REMEDY 2 ,KALI MURIATICUM 3X NATRUM MURIATICUM 3X NATRUM SULPHURICUM 3X MIX AND TAKE ,"
GUM SWOLLEN,CALCAREA PHOSPHORICA 3X OR 12X KALI PHOSPHORICUM 3X KALI SULPHURICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X NATRUM SULPHURICUM 3X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2 ,SILICEA 12X NATRUM PHOSPHORICUM 3X KALI MURIATICUM 3X FERRUM PHOSPHORICUM 12X MIX AND TAKE ,,"CALCAREA PHOSPHORICA 3X OR 12X KALI PHOSPHORICUM 3X KALI SULPHURICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X NATRUM SULPHURICUM 3X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2 ,SILICEA 12X NATRUM PHOSPHORICUM 3X KALI MURIATICUM 3X FERRUM PHOSPHORICUM 12X MIX AND TAKE ,"
HAEMORRHAGE,,,,While waiting for the doctor  alternate every 5 minutes : Phosphorus 7CH  China 5CH  Arnica 5CH.Depending on the place where the haemorrhage occurs : Nose (epistaxis) : China 5CH  and in case the haemorrhage exceeds 15 minutes : Millefolium 4CH Anus : Collinsonia 5CH. Coughing effort : Ipeca 5CH Urinary tracs : Cantharis 5CH
HAEMORRHAGE TO STOP,CALCAREA FLOURIDE3X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2 ,,,CALCAREA FLOURIDE3X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2 
HAIR LOSS,,,,Phosphoricum Acidum 7CH 3 granules 3 times per day or Selenium 5CH 5 granulesBrittle hair : Fluoricum Acid 7CH 5 granules per day.
HAY FEVER,,,,At the slightest chill  take : Oscillococcinum 200 1 dose starting with the first symptoms. Aconit compos\u00e9 3 granules hourly. Installed cold : 3 granules 3 times of each Pollens 9CH  Arsenicum Album 9CH  Sabadilla 9CH Then  according to symptoms.  Nose is running like water : Allium Cepa 5CH. Emission of big yellow caps : Hydrastis Canadensis 7CH. Yellow-greenish flow : Kalium Bichromicum 5CH. Crusts within the nose : Kalium Bichromicum 5CH. Yellow and irritating flow : Mercurius solubilis 5CH. With sneezing : Nux Vomica 5CH. Stuffy nose at night and running nose during daytime : Nux Vomica 7CH. Dry stuffy nose : Bryonia 5CH. Non irritating yellow flow : Pulsatilla 7CH. Loss of odor during colds : Pulsatilla 7CH. In case eyes are irritated : Euphrasia. In case you sneeze : Nux Vomica 5CH + Aconit 4CH In case of added asthma : Ipeca 5CH. Open mouth breathing at night : Ammonium Carb. Drought scrapes  cracks : Arum triphyllum. Soft nose running + conjunctivitis : Euphrasia. Blows his nose with no results : Sticta pulmonaria 
HEADACHE,CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2 ,CALCARIA FLOURIDE 3X KALI SULPHURICUM 3X CALCARIA SULPHURICUM 3X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 3 ,NUXVOMICA6\nBELLADONNA6........................ ,"CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2 ,CALCARIA FLOURIDE 3X KALI SULPHURICUM 3X CALCARIA SULPHURICUM 3X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 3 ,NUXVOMICA6\nBELLADONNA6........................ "
HEADACHES,,,,After a cold : Take 1 granule every 15 minutes until pain disappearance Aconit 9CHIn case of eyes tiredness : Take 1 granule every 15 minutes until pain disappearance Ruta 5CHIn case of beats sensation : Take 1 granule every 15 minutes until pain disappearance Belladona 9CH
HEART DISEASES,,,,For treating  heart hypertension  it is recommended to take 5 granules of Nux vomica 9 CH. The medication can be repeated as many times as necessary  especially if hypertension occurs after anger.
HEAT STROKE,NATRUM MURIATICUM 3X IF REMEDY FAILS TRY REMEDY 2 ,KALI PHOSPHORICUM 3X NATRUM SULPHURICUM 3X NATRUM MURIATICUM 3X MANY TIMES A DAY ,,"NATRUM MURIATICUM 3X IF REMEDY FAILS TRY REMEDY 2 ,KALI PHOSPHORICUM 3X NATRUM SULPHURICUM 3X NATRUM MURIATICUM 3X MANY TIMES A DAY ,"
HELP TO GET PREGNANT,,,,"For women wishing to become pregnant, prescriptions are as follows:<i>For a cycle of 28 days, the following products are recommended (single doses)</i> :Ovarium 7CH, one complete dose on the 5th dayFolliculinum 7CH, one complete dose on the 7th dayProgesteronum 7CH, one complete dose on the 21st dayIn case your cycle is too long or too short, you will have to adapt it accordingly.<i>For example, in case you have a cycle of 25 days, subtract 3 days for each product</i> :Ovarium 7CH, one complete dose on the second dayFolliculinum 7CH, one complete dose on the 4th dayProgesteronum 7CH, one complete dose on the 18th day<i>The same way, in case you have a cycle of 30 days, add 2 days for each product </i> :Ovarium 7CH, one complete dose on the 7th dayFolliculinum 7CH, one complete dose on the 9th dayProgesteronum 7CH, one complete dose on the 23rd day"
HEMATOMA,,,,3 granules of each. Alternate every 30 minutes : Arnica 4CH  Bellis 4CH  Calendula 4CH  Hypericum 4CH.  In case of bruised bones and ligaments : Arnica 4CH  Ruta 4CH  Symphytum 4CH. 
HEMORRHOIDS ,,,,Take 5 granules 2 times per day :in case hemorrhoids occur during menstruation : Muriatic acidum 5CH. In case the subject is oversized (big eater) : Aesculus 5CH. In case hemorrhoids are painful : Negundo 5CH. In case constipation is severe: Collinsonia 5CH. In case hemorrhoids bleed : Hamamelis 5CH. In case hemorrhoids are oozing and sensitive to touch : Paeonia (Pivoine) 5CH. In case of important losses : China 5CH In case of complications  3 granules of each  3 times per day : In case of fistula : Berberis 5CH  Silicea 7CH. In case of clots : Lachesis 5CH In case of anal fissure : Nitricum acidum 7CH  Ratanhia 7CH.  Apply the ointment locally Ratanhia.
HERNIA,CALCARIA FLOURIDE 3X SILICEA 12X NATRUM MURIATICUM 3X KALI MURIATICUM 3X FERRUM PHOSPHORICUM 12X CALCAREA PHOSPHORICA 3X OR 12X MIX AND TAKE ,,,CALCARIA FLOURIDE 3X SILICEA 12X NATRUM MURIATICUM 3X KALI MURIATICUM 3X FERRUM PHOSPHORICUM 12X CALCAREA PHOSPHORICA 3X OR 12X MIX AND TAKE 
HERPES,,,,Severe attack : 3 granules 5 times per day : Rhus tox. 5CH  Graphites 5CH  Anagallis 5CH. In case of sweating. Sepia 5CH 5 granules x 2 times Background treatment : Alternate Vaccinotoxinum 9CH \/ 1 dose per week. Natrum Mur. 9CH 1 dose per week.
HERPES ZOSTER,CALCAREA PHOSPHORICA 3X OR 12X KALI MURIATICUM 3X NATRUM MURIATICUM 3X FERRUM PHOSPHORICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X KALI PHOSPHORICUM 3X KALI SULPHURICUM 3X SILICEA 12X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2 ,CALCARIA SULPHURICUM 3X CALCARIA FLOURIDE 3X MAGNESIA PHOSPHORICA 3X MIX AND TAKE ,,"CALCAREA PHOSPHORICA 3X OR 12X KALI MURIATICUM 3X NATRUM MURIATICUM 3X FERRUM PHOSPHORICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X KALI PHOSPHORICUM 3X KALI SULPHURICUM 3X SILICEA 12X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2 ,CALCARIA SULPHURICUM 3X CALCARIA FLOURIDE 3X MAGNESIA PHOSPHORICA 3X MIX AND TAKE ,"
